index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-43db14ef-15e7-0c43-1a35-c81191c2a009,546.17,NVIDIA GeForce RTX 4070,[N/A],Enabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory
index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,5,12282,405,11620,2024/03/11 16:02:37.871
0,31,12282,9337,2688,2024/03/11 16:03:07.921
0,78,12282,9712,2313,2024/03/11 16:03:37.963
0,0,12282,9712,2313,2024/03/11 16:04:08.007
0,1,12282,9709,2316,2024/03/11 16:04:38.046
0,62,12282,9709,2316,2024/03/11 16:05:08.090
0,3,12282,9709,2316,2024/03/11 16:05:38.142
0,0,12282,9709,2316,2024/03/11 16:06:08.189
0,6,12282,9709,2316,2024/03/11 16:06:38.244
0,0,12282,9709,2316,2024/03/11 16:07:08.291
0,4,12282,9709,2316,2024/03/11 16:07:38.344
0,0,12282,9709,2316,2024/03/11 16:08:08.392
0,0,12282,9709,2316,2024/03/11 16:08:38.439
0,0,12282,9709,2316,2024/03/11 16:09:08.482
0,0,12282,9709,2316,2024/03/11 16:09:38.535
0,0,12282,9718,2307,2024/03/11 16:10:08.596
0,0,12282,9718,2307,2024/03/11 16:10:38.634
0,3,12282,9718,2307,2024/03/11 16:11:08.691
0,2,12282,9718,2307,2024/03/11 16:11:38.740
0,9,12282,9718,2307,2024/03/11 16:12:08.786
0,7,12282,9718,2307,2024/03/11 16:12:38.844
0,0,12282,9718,2307,2024/03/11 16:13:08.896
0,1,12282,9718,2307,2024/03/11 16:13:38.952
0,3,12282,9718,2307,2024/03/11 16:14:09.002
0,1,12282,9718,2307,2024/03/11 16:14:39.049
0,0,12282,9718,2307,2024/03/11 16:15:09.104
0,0,12282,9718,2307,2024/03/11 16:15:39.151
0,0,12282,9718,2307,2024/03/11 16:16:09.194
0,0,12282,9718,2307,2024/03/11 16:16:39.244
0,7,12282,9722,2303,2024/03/11 16:17:09.288
0,0,12282,9722,2303,2024/03/11 16:17:39.327
0,9,12282,9722,2303,2024/03/11 16:18:09.377
0,0,12282,9722,2303,2024/03/11 16:18:39.438
0,85,12282,9722,2303,2024/03/11 16:19:09.490
0,2,12282,9722,2303,2024/03/11 16:19:39.541
0,0,12282,9722,2303,2024/03/11 16:20:09.586
0,0,12282,9722,2303,2024/03/11 16:20:39.630
0,0,12282,9722,2303,2024/03/11 16:21:09.687
0,99,12282,9722,2303,2024/03/11 16:21:39.738
0,0,12282,9722,2303,2024/03/11 16:22:09.777
0,25,12282,9722,2303,2024/03/11 16:22:39.830
0,0,12282,9722,2303,2024/03/11 16:23:09.876
0,0,12282,9722,2303,2024/03/11 16:23:39.926
0,0,12282,9722,2303,2024/03/11 16:24:09.978
0,0,12282,9722,2303,2024/03/11 16:24:40.031
0,0,12282,9722,2303,2024/03/11 16:25:10.081
0,0,12282,9722,2303,2024/03/11 16:25:40.128
0,0,12282,9722,2303,2024/03/11 16:26:10.175
0,10,12282,9722,2303,2024/03/11 16:26:40.229
0,25,12282,9722,2303,2024/03/11 16:27:10.272
0,0,12282,9722,2303,2024/03/11 16:27:40.332
0,14,12282,9722,2303,2024/03/11 16:28:10.381
0,57,12282,9722,2303,2024/03/11 16:28:40.452
0,6,12282,9722,2303,2024/03/11 16:29:10.500
0,0,12282,9722,2303,2024/03/11 16:29:40.542
0,0,12282,9722,2303,2024/03/11 16:30:10.594
0,0,12282,9722,2303,2024/03/11 16:30:40.641
0,0,12282,9722,2303,2024/03/11 16:31:10.687
0,0,12282,9722,2303,2024/03/11 16:31:40.734
0,16,12282,9722,2303,2024/03/11 16:32:10.773
0,0,12282,9722,2303,2024/03/11 16:32:40.814
0,0,12282,9722,2303,2024/03/11 16:33:10.856
0,1,12282,9722,2303,2024/03/11 16:33:40.900
0,0,12282,9722,2303,2024/03/11 16:34:10.952
0,0,12282,9722,2303,2024/03/11 16:34:41.008
0,0,12282,9722,2303,2024/03/11 16:35:11.054
0,1,12282,9722,2303,2024/03/11 16:35:41.107
0,0,12282,9722,2303,2024/03/11 16:36:11.153
0,7,12282,9722,2303,2024/03/11 16:36:41.194
0,0,12282,9722,2303,2024/03/11 16:37:11.250
0,89,12282,9722,2303,2024/03/11 16:37:41.307
0,69,12282,9722,2303,2024/03/11 16:38:11.351
0,4,12282,9722,2303,2024/03/11 16:38:41.401
0,0,12282,9722,2303,2024/03/11 16:39:11.445
0,2,12282,9722,2303,2024/03/11 16:39:41.495
0,0,12282,9722,2303,2024/03/11 16:40:11.538
0,74,12282,9722,2303,2024/03/11 16:40:41.584
0,2,12282,9722,2303,2024/03/11 16:41:11.639
0,51,12282,9722,2303,2024/03/11 16:41:41.686
0,0,12282,9715,2310,2024/03/11 16:42:11.730
0,0,12282,9715,2310,2024/03/11 16:42:41.782
0,0,12282,9715,2310,2024/03/11 16:43:11.838
0,0,12282,9715,2310,2024/03/11 16:43:41.884
0,0,12282,9715,2310,2024/03/11 16:44:11.930
0,0,12282,9715,2310,2024/03/11 16:44:41.983
0,0,12282,9715,2310,2024/03/11 16:45:12.036
0,84,12282,9715,2310,2024/03/11 16:45:42.092
0,0,12282,9715,2310,2024/03/11 16:46:12.144
0,3,12282,9715,2310,2024/03/11 16:46:42.199
0,0,12282,9715,2310,2024/03/11 16:47:12.241
